3.6562978426615396 , 0.47366055040325916 , 1127
5.474337736765544 , 0.9144654848787038 , 1539
7.371510585149129 , 0.11595569476874112 , 2015
11.493127266565958 , 0.20674530250140102 , 2555
17.40019178390503 , 0.303518683370768 , 3159
25.909560759862263 , 0.11767518359079066 , 3827
37.35936991373698 , 0.7774464197696427 , 4559
51.99181151390076 , 5.764968134209571 , 5355
86.23274087905884 , 4.624032404173205 , 6215
120.5369176864624 , 4.907684835184965 , 7139
 , , 8127
 , , 9179
 , , 10295
 , , 11475
 , , 12719
 , , 14027
 , , 15399
 , , 16835
 , , 18335
 , , 19899
 , , 21527
 , , 23219
 , , 24975
 , , 26795
 , , 28679
 , , 30627
