,prediction,rmse
20,31.06550120474391,0.12809879525608991
21,31.193896853237906,0.16789685323790593
22,31.026000776102894,0.10840077610289356
23,30.91760058833079,0.23150058833078901
24,30.686100978995213,0.14780097899521394
25,30.53830189289283,0.17729810710716976
26,30.715600188255358,0.1921998117446435
27,30.908496779050218,0.19779677905021842
28,30.710720578374428,0.2414205783744272
29,30.469300585534757,0.07879941446524441
30,30.54809918950689,0.13299918950689005
31,30.416606575835836,0.09699342416416457
32,30.513601737743144,0.07389826225685425
33,30.587499880393203,0.2759001196067956
34,30.863413747651016,0.15768625234898437
35,31.021135927468077,0.029564072531922392
36,31.050701910550384,0.24139808944961771
37,31.29209999410033,0.10839999410032775
38,31.183700118473485,1.184734834680512e-07
39,31.18370051502077,0.187199484979228
40,31.370900257913057,0.226699742086943
41,31.597631430114593,0.25616856988540704
42,31.85395049191089,0.4140504919108885
43,31.440243162749592,0.06434316274959073
44,31.375902141223715,0.3448978587762852
45,31.72084843392432,0.19714843392431902
46,31.523948286873882,0.217048286873883
47,31.307978652237512,0.20797865223751089
48,31.10031147701389,0.30581147701389
49,30.796916911515066,0.07141691151506535
50,30.73885704200152,0.2153570420015214
51,30.526831598969398,0.23003159896939707
52,30.304698471688294,0.32220152831170523
53,30.640012204689334,0.013112204689335272
54,30.640085561935894,0.12148556193589499
55,30.520381237439498,0.510618762560501
56,31.03384275891253,0.061157241087467895
57,31.095001348128385,1.3481283858141069e-06
58,31.095000588851384,0.606099411148616
59,31.70315262778997,0.4364473722100328
60,32.14552526121282,0.13197473878718569
61,32.277794155978505,0.4580058440214927
62,32.762053872417646,0.19875387241764741
63,32.56330076622076,0.4335992337792334
64,32.99700112424637,0.4334988757536351
65,33.43060066747268,0.5273006674726801
66,32.90339682533767,0.014703174662329843
67,32.918197979152694,0.5123020208473079
68,33.43050645092296,0.492693549077039
69,33.923354744654596,0.4436547446545944
70,33.48006073839256,0.5028607383925561
71,32.977999479030046,0.13710052096995184
72,33.11697866375525,0.07202133624475238
73,33.189004928016566,0.3350950719834316
74,33.5241143232657,0.044414323265698386
75,33.475291571590695,0.10300842840930358
76,33.578314467816185,0.1281144678161823
77,33.45019594233288,0.1379959423328856
78,33.312200177185744,0.09859982281425772
79,33.41079874479977,0.07889874479977266
80,33.33191049640941,0.16258950359059554
81,33.49550669545681,0.28479330454318585
82,33.78098389653541,0.13731610346459178
83,33.918782164856324,0.06458216485632562
84,33.85460577583827,0.4134942241617239
85,34.26845948218462,0.22705948218461458
86,34.04170841837339,0.40379158162661355
87,34.445767538507646,0.4037324614923534
88,34.84974013501668,0.6747598649833222
89,35.524720436842095,0.7885204368420986
90,34.7364012759281,0.5121987240719008
91,35.248786702141906,0.30078670214190595
92,34.94817228622792,0.04912771377208003
93,34.99746352460713,0.13783647539287358
94,35.13545639690456,0.3598563969045614
95,34.77575012326688,0.3253501232668796
96,34.450545714542976,0.1328542854570216
97,34.583542847128264,0.43835715287173826
98,35.02204017004179,0.23664017004178817
99,34.78553846184545,0.5421384618454468
100,34.24353922345378,0.0245607765462168
101,34.26824288351963,0.22684288351963033
102,34.04154219080116,0.24625780919883766
103,34.2879463956544,0.1430463956544017
104,34.14504702968821,0.11344702968820997
105,34.03174575432072,0.31054575432071374
106,33.7213421749692,0.7490421749692047
107,32.972432264121885,0.26586773587811763
108,33.23843259546254,0.14276740453745873
109,33.38133919805015,0.3154391980501501
110,33.06604255533203,0.10325744466796749
111,33.169451387639384,0.13784861236061374
112,33.30745936362004,0.38414063637996065
113,33.69176800995022,0.14796800995022608
114,33.54397746051418,0.3299225394858212
115,33.87408633404364,0.1134863340436425
116,33.76079078941964,0.2708092105803601
117,34.03179681360738,0.23140318639261892
118,34.26340538242257,0.36980538242256955
119,33.893812867659236,0.049087132340766004
