time,pred,rmse
1,31.197208870136297,0.003608870136297071
2,31.243652362066445,0.21765236206644545
3,31.134002807994808,0.2164028079948075
4,31.00334129277735,0.31724129277735
5,30.81137582487621,0.2730758248762122
6,30.610662363402515,0.10493763659748367
7,30.658300986945484,0.2494990130545176
8,30.82932157124231,0.11862157124231132
9,30.760774855054606,0.2914748550546058
10,30.56744031015323,0.019340310153229012
11,30.541060383934692,0.125960383934693
12,30.428264302252604,0.08533569774739647
13,30.447043408395917,0.14045659160408164
14,30.5043215267382,0.35907847326179976
15,30.71354500921983,0.30755499078017223
16,30.902645325620238,0.14805467437976105
17,30.978721560360963,0.3133784396390382
18,31.163368636110572,0.020331363889429355
19,31.168066084962444,0.015633915037557955
20,31.192635938791017,0.17826406120898142
21,31.317378605036378,0.28022139496362186
22,31.53337358991201,0.32042641008798967
23,31.796072544221033,0.35617254422103173
24,31.626877410752115,0.2509774107521139
25,31.516698544466813,0.2041014555331877
26,31.69403810543674,0.17033810543673766
27,31.628542773156223,0.32164277315622414
28,31.47465496482396,0.3746549648239572
29,31.282119871811965,0.4876198718119653
30,30.994812712495502,0.2693127124955019
31,30.84300263520486,0.3195026352048629
32,30.638170386922482,0.3413703869224811
33,30.40020593076122,0.22669406923877844
34,30.515234571593425,0.11166542840657456
35,30.55566883270723,0.037068832707230825
36,30.496614393587524,0.5343856064124743
37,30.80764644165389,0.28735355834610843
38,30.978389903725066,0.11661009627493257
39,31.03629300170743,0.6648069982925691
40,31.452236278192224,0.6873637218077775
41,31.898944112426747,0.3785558875732562
42,32.164012710229784,0.5717872897702136
43,32.6029751793285,0.03967517932850484
44,32.64395866696651,0.35294133303348474
45,32.94159008013171,0.48890991986829135
46,33.375845307636745,0.47254530763674296
47,33.19577148079704,0.2776714807970393
48,33.148287617242154,0.282212382757848
49,33.49154232173274,0.4316576782672641
50,33.95945517341056,0.4797551734105596
51,33.844274628310664,0.867074628310661
52,33.45563073479772,0.3405307347977242
53,33.37805867519632,0.18905867519632125
54,33.402274673897765,0.12182532610223262
55,33.63246441215174,0.15276441215173975
56,33.66016906284992,0.08186906284991835
57,33.73885459934957,0.28865459934957016
58,33.66804100943847,0.3558410094384712
59,33.5088826546505,0.09808265465049715
60,33.50067763154472,0.16877763154472092
61,33.43839897588107,0.05610102411893081
62,33.504721713313764,0.2755782866862333
63,33.73102081653849,0.18727918346151284
64,33.88156661882913,0.02736661882913438
65,33.89238882528262,0.3757111747173738
66,34.20636473148357,0.16496473148356472
67,34.14993855141545,0.29556144858455013
68,34.37185275355138,0.477647246448619
69,34.72872163454113,0.7957783654588724
70,35.36500564866022,0.6288056486602258
71,35.083802637243075,0.16479736275692858
72,35.301681616973255,0.3536816169732546
73,35.17394890816151,0.17664890816151058
74,35.143878440959234,0.008578440959233546
75,35.234315357420805,0.4587153574208074
76,35.02222146292375,0.5718214629237508
77,34.73069020867387,0.14729020867387277
78,34.71018915208563,0.31171084791436954
79,34.98996932003665,0.20456932003664718
80,34.93767415205392,0.6942741520539215
81,34.53625555265944,0.2681555526594437
82,34.38614507297584,0.3447450729758401
83,34.1741518682058,0.11364813179419997
84,34.25673503045704,0.11183503045703702
85,34.17168993693194,0.14008993693194327
86,34.07118071544038,0.349980715440374
87,33.79099528058677,0.8186952805867733
88,33.16519300852939,0.07310699147060973
89,33.090565657383216,0.29063434261678367
90,33.20085187139595,0.13495187139594833
91,32.99670529297064,0.17259470702936142
92,33.011219459888636,0.29608054011136176
93,33.10016410333992,0.5914358966600801
94,33.39326715683011,0.15053284316988425
95,33.43152097051972,0.4423790294802785
96,33.670879437284505,0.08972056271549178
97,33.66806581989054,0.36353418010945404
98,33.83845299090482,0.42474700909517793
99,34.09178350127379,0.19818350127378892
100,33.962598183970194,0.019698183970191963
